NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_RECEITA,VR_DESPESA_CONTRATADA
24,43,0,2,5,4169.0,0.0
9,56,1,2,4,11076.349999999999,4929.5
3,52,1,2,1,13811.6,6918.15
6,44,1,2,4,187.5,0.0
11,55,1,2,1,9785.0,9560.0
18,49,1,1,4,1087.3899999999999,0.0
19,40,1,2,1,1598.7,0.0
11,45,0,0,1,5011.85,0.0
21,55,0,5,5,6284.389999999999,1047.54
12,49,0,2,1,372.45,0.0
0,72,1,5,4,3179.7,1723.95
11,46,1,2,1,4611.849999999999,0.0
7,46,0,3,1,0.0,0.0
21,48,1,2,4,5521.849999999999,0.0
23,42,1,2,5,950.0,0.0
11,50,0,0,4,5006.849999999999,0.0
24,64,1,0,1,1127.8,0.0
25,49,1,1,1,13099.85,8206.4
14,48,1,5,1,1574.0800000000002,0.0
22,60,1,2,5,9941.619999999999,6000.0
12,43,1,2,1,772.45,400.0
25,62,1,2,1,5150.38,2572.0
14,25,0,0,5,0.0,0.0
6,63,1,0,4,187.5,0.0
18,77,1,1,4,1087.39,0.0
0,63,1,2,4,1525.32,0.0
5,51,1,5,1,2791.58,2519.58
16,43,1,1,1,4966.849999999999,0.0
19,52,0,5,4,4525.95,3045.89
11,55,1,1,1,398.49,0.0
14,34,1,5,1,2588.38,380.0
22,55,1,2,4,2048.44,1550.0
8,46,0,1,4,821.06,166.0
6,54,1,2,4,187.5,0.0
4,46,1,2,1,771.43,0.0
14,42,1,0,5,1574.08,0.0
1,35,1,0,1,1755.3,14.0
21,51,1,5,1,5121.849999999999,0.0
0,48,1,2,4,2179.7,1000.0
4,59,0,2,1,2355.43,1584.0
0,50,0,2,1,6874.41,5500.0
20,62,1,2,5,1937.0,0.0
14,46,1,2,5,1574.0800000000002,0.0
16,41,0,0,5,5086.849999999999,0.0
8,33,1,2,4,0.0,0.0
8,49,1,2,4,367.56,0.0
10,24,1,6,1,22380.5,20677.02
6,59,1,1,1,187.5,0.0
0,50,0,2,1,6457.47,5498.0
20,46,1,5,1,34468.9,24956.45
8,39,1,0,4,412.56,45.0
10,68,0,5,1,3542.5,3000.0
13,24,1,5,4,107011.15,106439.8
22,29,0,0,4,1778.45,0.0
9,57,0,2,1,438.49,0.0
22,59,1,4,1,2183.75,0.0
25,45,0,2,1,3422.65,0.0
4,48,1,0,4,1311.32,0.0
4,41,1,2,5,2453.49,2055.0
14,30,1,5,5,18052.0,13150.0
9,32,0,5,1,4721.85,0.0
25,32,1,2,1,26543.95,24960.0
18,49,1,1,4,1387.04,0.0
12,48,0,2,5,372.45,0.0
16,36,1,1,4,2605.0,3671.25
3,74,1,5,1,3030.26,0.0
6,31,0,1,4,187.5,0.0
24,36,1,2,1,673.9,0.0
16,50,1,1,1,4721.849999999999,0.0
15,47,0,5,4,12201.380000000001,10000.0
21,54,0,2,4,5121.849999999999,0.0
24,45,1,2,5,1386.8,0.0
6,56,0,2,1,187.5,0.0
13,47,1,4,1,1862.45,0.0
16,63,1,0,5,5006.85,0.0
6,48,0,2,5,187.5,0.0
9,44,0,3,5,5106.85,0.0
12,62,1,1,4,635.75,0.0
4,33,0,2,1,771.43,0.0
4,77,0,0,1,771.43,0.0
1,43,1,2,1,2224.5,795.5
3,44,1,2,4,2838.38,0.0
5,63,1,3,1,2791.58,2568.0
19,67,0,2,5,1879.95,1050.0
0,39,1,2,1,4123.7,2974.0
24,36,1,6,5,850.85,0.0
24,39,1,3,4,1621.8899999999999,0.0
24,40,1,2,4,0.0,0.0
18,27,1,2,1,1087.39,0.0
13,38,0,4,5,1392.62,0.0
23,39,1,2,1,700.0,200.0
4,30,0,6,1,771.43,0.0
2,44,0,2,4,1473.8899999999999,300.0
15,30,0,6,1,2844.58,0.0
6,49,0,0,1,187.5,0.0
18,49,1,0,4,1087.3899999999999,0.0
12,60,1,1,1,372.45,0.0
9,61,1,5,4,4721.85,0.0
14,63,0,2,1,1574.08,0.0
19,48,1,5,1,16214.63,8274.5
19,56,1,2,1,7340.83,3000.7
20,50,1,6,1,2360.88,0.0
15,49,1,0,4,2785.38,0.0
18,47,0,1,4,1087.3899999999999,0.0
11,63,0,3,1,5121.849999999999,0.0
25,48,0,2,5,2513.38,0.0
18,33,0,5,1,2897.04,1501.6599999999999
22,29,0,4,5,1672.45,0.0
5,63,1,0,4,2791.58,2450.0
8,20,0,2,4,0.0,0.0
19,44,0,2,1,2075.95,0.0
19,54,1,2,4,48529.01,43422.76
23,43,0,2,4,950.0,0.0
12,49,1,2,1,3512.45,9000.0
14,32,1,2,5,6305.38,4000.0
16,42,0,0,5,553.49,0.0
0,43,1,5,1,5340.94,3232.7
2,49,1,5,1,2533.89,0.0
4,43,1,2,1,2938.75,2610.0
11,58,1,1,5,5121.849999999999,0.0
22,62,0,2,4,1652.45,0.0
7,37,0,2,1,0.0,0.0
19,32,1,5,1,1475.95,0.0
9,54,0,5,4,4496.849999999999,0.0
16,46,0,3,1,5006.849999999999,0.0
19,21,1,2,1,2075.95,589.1
19,39,0,2,1,2025.95,690.0
6,62,1,2,1,187.5,0.0
22,61,1,0,4,2183.75,0.0
8,52,0,5,1,655.06,0.0
6,41,0,0,1,187.5,0.0
12,53,0,0,5,372.45,0.0
9,49,1,2,4,5106.849999999999,0.0
21,49,1,5,1,4761.849999999999,0.0
7,40,1,2,5,0.0,0.0
0,51,1,1,5,1179.7,0.0
13,46,1,1,4,1652.4499999999998,0.0
9,39,1,2,4,7866.849999999999,2700.0
7,54,1,5,1,0.0,0.0
13,51,1,1,4,1652.4499999999998,0.0
4,46,1,5,1,4460.18,3688.75
20,52,0,6,4,3828.38,1500.0
18,33,0,2,4,1087.3899999999999,0.0
25,59,0,6,5,2683.38,0.0
14,56,1,5,1,1750.38,0.0
22,49,1,4,4,1652.45,0.0
13,41,1,5,1,15965.75,11662.0
9,29,1,5,1,11271.86,3300.0
24,41,1,2,1,1576.8899999999999,0.0
21,47,1,5,1,5121.849999999999,0.0
15,36,1,2,5,11639.58,10000.0
25,43,1,1,1,3009.52,0.0
13,43,0,5,5,3293.75,0.0
